match_id,champion,kills,deaths,assists,combat_events,all_fights,my_fights,fight_wins,fight_evens,fight_losses,survived_fights,died_fights,small_fights,skirmishes,teamfights,early_fights,mid_fights,late_fights,objective_before_gain,objective_before_loss,objective_during_gain,objective_during_loss,objective_after_gain,objective_after_loss
JP1_569365097,Galio,2,2,5,9,17,5,3,1,1,3,2,1,3,1,2,3,0,1,0,2,0,1,1
JP1_569369811,Galio,4,3,3,10,10,5,1,1,3,3,2,1,1,3,2,3,0,0,1,0,1,2,1
JP1_569378355,Ashe,18,4,3,25,22,14,10,0,4,10,4,8,4,2,10,4,0,3,0,1,0,1,0
JP1_569384631,Galio,1,4,15,20,27,12,6,2,4,8,4,2,6,4,3,6,3,2,3,1,0,2,1
JP1_569392736,Galio,0,5,1,6,16,6,0,0,6,1,5,2,2,2,6,0,0,1,0,0,1,0,2
JP1_569397736,Xerath,7,1,7,15,20,9,9,0,0,8,1,1,4,2,6,3,0,3,0,2,0,2,0
JP1_569405331,Xerath,3,1,2,6,13,5,4,0,1,4,1,2,2,0,5,0,0,0,0,2,0,0,0
JP1_569407747,Xerath,3,6,6,15,21,12,5,1,6,6,6,4,4,2,4,5,3,3,0,0,2,0,2
JP1_569415117,Xerath,4,2,9,15,20,8,6,0,2,6,2,2,1,3,5,3,0,4,0,1,0,5,0
JP1_569422334,Xerath,9,4,14,27,31,17,12,2,3,13,4,6,1,7,5,4,8,2,1,0,0,3,0
JP1_570132990,Janna,2,5,22,29,21,12,9,1,2,7,5,4,4,4,4,5,3,2,1,0,1,3,2
JP1_570153213,Ahri,1,9,1,11,28,11,0,3,8,2,9,2,3,1,3,5,3,0,4,0,0,0,1
JP1_570161289,Galio,2,4,7,13,26,9,4,1,4,5,4,2,1,5,2,2,5,1,1,2,0,3,1
JP1_570170572,Seraphine,0,6,4,10,18,8,2,0,6,2,6,3,3,2,1,4,3,0,1,1,0,2,1
JP1_570301929,Nami,1,3,2,6,16,5,2,1,2,2,3,5,0,0,4,1,0,0,1,0,0,0,1
JP1_570307638,Nami,2,4,6,12,29,10,5,1,4,6,4,5,3,1,4,4,2,0,1,1,0,3,2
JP1_570319449,Leona,1,10,7,18,32,12,2,1,9,2,10,7,1,4,4,6,2,0,0,0,1,0,4
JP1_570511965,Xerath,2,3,0,5,15,4,1,0,3,1,3,2,1,1,2,2,0,1,1,1,0,1,1
JP1_570516971,Nami,0,11,23,34,52,20,7,2,11,9,11,11,4,5,3,6,11,1,1,0,2,1,5
